Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q15800	MSMO1	0.00270024388957185	1696.70868937175	264.429639180501	2.67633750427519	0.0033406054661876
P61964	WDR5	0.00270555890176973	1040.37477620443	58.3819020589193	4.13093621161518	0.00334587801904338
Q6GYQ0	RALGAPA1	0.00272418226677876	4100.64892578125	0	12.0016365182772	0.0033675980784265
O95299	NDUFA10	0.0027332778422932	195.360163370768	0	7.60999250167305	0.00337752769543582
O14925	TIMM23	0.00273713046819168	6477.83569335938	2580.18833414714	1.32747646519995	0.00338097336603614
Q96C12	ARMC5	0.00273926723801069	11852.4926757813	4377.7109781901	1.43661237023975	0.0033822977128488
Q9Y6N5	SQOR	0.00277266575651607	2447.43282063802	589.068181355794	2.05231568983614	0.00342220633583977
P14854	COX6B1	0.00288842491624403	6880.1005859375	53.6255035400391	6.97671117332605	0.00356369940151739
Q9H8W3	FAM204A	0.00293768032844501	2014.29469807943	0	10.9760590545783	0.00362306304482523
Q8WUI4	HDAC7	0.003010552001098	9113.869140625	5832.23128255208	0.643768379217352	0.00371149542393805
P46459	NSF	0.00301646212791296	3427.97733561198	698.503211975098	2.29295498389352	0.00371733909246683
Q93009	USP7	0.00311526580418974	717.770268758138	0	9.48737835533115	0.00383761126789872
Q9H920	RNF121	0.00315193066792263	1075.05317687988	0	10.0701923083126	0.00388127276433729
Q9Y6K0	CEPT1	0.00323792354312247	40212.65234375	32051.0550130208	0.327232638470949	0.00398561917725691
Q14814	MEF2D	0.00324338998332627	3513.82116699219	1169.18431599935	1.58630498151686	0.00399080169520819
P61160	ACTR2	0.00327611799179809	15831.5719401042	8326.39908854167	0.926866638370043	0.00402951097945898
Q32P28	P3H1	0.00328304143525187	1890.47975667318	70.6066284179688	4.72251545098325	0.00403646386988978
Q68DH5	LMBRD2	0.00329372314532065	1737.48431396484	0	10.762784237884	0.00404803034146371
P05387	RPLP2	0.00331984123008979	60591.2513020833	35042.2936197917	0.789971123606083	0.00407855204485509
