Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
P24534	EEF1B2	2.38169783638857e-06	268090.3984375	7271.78381347656	5.2040680481824	5.37325981205211e-06
O75382	TRIM3	2.38544054709899e-06	8371.1875	0	13.0312165763555	5.37786774802145e-06
O43819	SCO2	2.4073854579594e-06	8279.06502278646	105.102315266927	6.28593980659917	5.42347592843701e-06
O60507	TPST1	2.42193920769929e-06	3283.95617675781	38.6300837198893	6.37269504970903	5.45237986758211e-06
O60292	SIPA1L3	2.43822473098791e-06	2839.63952636719	284.127604166667	3.31602817733911	5.48513856622672e-06
Q13242	SRSF9	2.44294281526687e-06	125560.990885417	4517.44641113281	4.79641769670851	5.49184657049689e-06
P11047	LAMC1	2.45062512814798e-06	4655.59431966146	773.729120890299	2.58720147528402	5.50520403432675e-06
Q15427	SF3B4	2.45254617031701e-06	90115.30859375	4739.42838541667	4.2486828644534	5.50560932342988e-06
Q8IVF2	AHNAK2	2.46474340761578e-06	75096.8704427083	2764.87915039063	4.76294275941271	5.52906623992106e-06
O75828;P16152	CBR3;CBR1	2.47430822748144e-06	10700.4001464844	1223.71030680339	3.12715230854366	5.54658888981134e-06
Q9UK61	TASOR	2.47665045080799e-06	9861.65226236979	0	13.2676136666636	5.54790749001819e-06
P51991	HNRNPA3	2.47918057757786e-06	101003.63671875	3057.87129720052	5.04526402269793	5.54964484563253e-06
P06746	POLB	2.48479143726997e-06	8503.21647135417	279.860458374023	4.92008323537223	5.55827108634012e-06
Q9Y3B4	SF3B6	2.49012684177218e-06	71349.3678385417	4703.61966959635	3.92275064478811	5.5662693996646e-06
Q5SNV9	C1orf167	2.50831687969072e-06	15422.3020833333	122.819305419922	6.96063805040888	5.59882798398303e-06
Q75N03	CBLL1	2.51000255494402e-06	13753.8922526042	127.71645228068	6.73949967076165	5.59882798398303e-06
Q9H0D6	XRN2	2.5094263087751e-06	46794.021484375	2109.08494059245	4.4709512391248	5.59882798398303e-06
O15371	EIF3D	2.52704261340116e-06	228707.125	2070.23292032878	6.78686770021715	5.63276350267371e-06
Q3T8J9	GON4L	2.52877779759617e-06	4652.03141276042	611.422515869141	2.92526160864243	5.63276350267371e-06
Q5RI15	COX20	2.5347995728947e-06	16278.4622395833	4843.12215169271	1.74865727019259	5.64220341243204e-06
P25205	MCM3	2.53875868876507e-06	21511.0797526042	4156.05115763346	2.37144753559823	5.64704200602243e-06
Q9H9L3	ISG20L2	2.54931146362675e-06	8770.19010416667	133.112945556641	6.03108770662586	5.66652997853227e-06
Q9NY12	GAR1	2.55396624262724e-06	26642.5686848958	1244.4657796224	4.41897589560329	5.67288990549857e-06
Q9C0J8	WDR33	2.56111427832329e-06	8460.59171549479	0	13.0465428505082	5.68477506128881e-06
Q9UL40	ZNF346	2.57865787266635e-06	6314.01529947917	0	12.624342041109	5.71970185921716e-06
Q9NXW2	DNAJB12	2.58297880438246e-06	4224.34187825521	1082.39331817627	1.9631694993717	5.72527116906919e-06
P51970	NDUFA8	2.60322886014373e-06	6309.39632161458	1580.40303945541	1.99629687318968	5.7661154654304e-06
O14802	POLR3A	2.61323400948077e-06	11714.1756184896	383.619700113932	4.92867895931932	5.7842261525456e-06
Q15629	TRAM1	2.62247332558942e-06	52743.1725260417	4090.0820719401	3.6884299677855	5.80061757261493e-06
P31942	HNRNPH3	2.62497788433424e-06	130177.802083333	2643.614112854	5.62128242312729	5.80209996376603e-06
Q5JVS0	HABP4	2.63316159305219e-06	10814.5813802083	1982.76455688477	2.44666510662068	5.81612438465368e-06
Q9H078	CLPB	2.68822768241555e-06	18327.96484375	1030.14177449544	4.15173198488268	5.93361071840919e-06
O95182	NDUFA7	2.70359941823995e-06	2590.56693522135	0	11.3390521451713	5.96337863311923e-06
Q01844	EWSR1	2.70931321867385e-06	1058013.71875	59707.69140625	4.14727357355463	5.97181721997588e-06
Q53SF7	COBLL1	2.72805780607844e-06	2293.71427408854	125.370513916016	4.18195390406389	6.00894626784547e-06
Q5EB52	MEST	2.73056623890928e-06	17155.2783203125	954.111729939779	4.16683921061135	6.01028602203901e-06
Q96JJ3	ELMO2	2.77158150342434e-06	3677.23840332031	0	11.8444069972758	6.09632287575187e-06
P18583	SON	2.77527321943825e-06	7752.62076822917	727.593266805013	3.41149852713992	6.10020096809115e-06
