Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q9NR61	DLL4	0.223739925679907	1055.46986891667	2222.06148615	-1.07466245758246	0.268923007156029
H3BMD8;H3BQ52;P56211	ARPP19	0.223788936992913	27730.9824233333	22527.9665803333	0.299717589879581	0.268941685422982
P09669	COX6C	0.22384243883954	72970.6907583333	50548.4546183333	0.529621583854545	0.268965753862077
Q9BW61	DDA1	0.224078347376796	985.347757833333	2215.00122753333	-1.1692537920332	0.269208959505466
Q15056	EIF4H	0.224201316549255	137627.882816667	174758.691428333	-0.344599680085716	0.269316426741406
Q8ND90	PNMA1	0.224878178221918	1589.55513001667	2517.03098388889	-0.663672981392047	0.270089112408537
O75600	GCAT	0.225369876794906	19534.5138333333	22620.7836913889	-0.211687337216264	0.270639210887321
Q5JX83;Q96MM6	HSPA12B	0.226630530630712	7273.86757383333	4132.64486038333	0.815308214887712	0.272112419847247
F8W7L6;P42262	GRIA2	0.227137735556178	30285.8579095	13506.9660379444	1.16483382208346	0.272680667143865
A0A3B3ITR4		0.227660243688433	4737.53845216667	5659.26435005556	-0.256731779547266	0.27326711353997
P04198	MYCN	0.228499804039316	5404.85978183333	9137.39875290556	-0.757684205103004	0.274222737983917
P59923	ZNF445	0.228524636408252	5360.64550783333	6230.20772316667	-0.217105076498618	0.274222737983917
C9JL63;H7BXL3;Q14416	GRM2	0.228775437244342	46048.6451816667	32814.8407662222	0.488766314254341	0.274482699456218
K7EIX0;K7ELB8;Q96S99	PLEKHF1	0.229238695669462	3955.86230433333	7994.64653894445	-1.01522248708419	0.274997449940897
O43166	SIPA1L1	0.229837311918999	560.2469597895	11504.157604973	-4.36007402153312	0.275674399353509
Q6EMK4	VASN	0.23102611865913	5111.09033116667	2671.151896	0.935629070315721	0.277058934839718
P02792	FTL	0.23138666843006	3947.56766783333	10087.21880815	-1.35363557082612	0.277449915062757
Q8NHP8	PLBD2	0.231538676379876	40662.4563816667	46161.7017166667	-0.183030291875507	0.277590758685811
O60784	TOM1	0.232376420868632	13843.2576496667	11546.0661075	0.261657147077166	0.27855356432634
A6NDA1;Q99871	HAUS7	0.233318753532019	6134.37166383333	3107.37257903889	0.980756138024254	0.279641435654799
A6NDG6	PGP	0.233555970758097	24645.13737	22139.3159177778	0.154627214570754	0.279884000751873
A0A1B0GUN5	PLEKHA6	0.234615509120046	48076.1171883333	34129.3688702778	0.494264376453013	0.281048424868235
Q96BN8	OTULIN	0.234632586685267	15200.7014966667	13140.0432949444	0.21005808530303	0.281048424868235
Q9NQX4	MYO5C	0.234611681812871	3193.96042891667	1972.03324046111	0.694931176898039	0.281048424868235
Q8WVT3	TRAPPC12	0.234679414222864	12530.4213866667	14121.4604492222	-0.17255652833025	0.281062616378106
A0A0D9SFJ1;Q9Y2Z9	COQ6	0.235742914103733	34183.7539066667	29734.2314466667	0.201137530922385	0.282294234697987
A2A3N6	PIPSL	0.236440535836306	5755.707276	8809.69478316667	-0.614262568641427	0.283087424444154
Q5BKX5	C19orf54	0.236693561502597	4505.27945983333	3505.16856914944	0.361721238855715	0.283348147597343
Q8TE68	EPS8L1	0.236850783827994	110.581260683333	305.822864969444	-1.47229907460865	0.283494123053469
F5H0M4;Q6P1A2	LPCAT3	0.237082313008073	5950.38712566667	7358.82314722222	-0.306687567843895	0.283686728967963
Q16643	DBN1	0.237069163631996	810326.239583334	921264.871527778	-0.185114711146918	0.283686728967963
Q15654	TRIP6	0.237131243880168	131584.235033333	79579.8330605556	0.725493745167423	0.283703029269975
A0A087WYC8;Q9BZI7	UPF3B	0.237227519538611	21103.7734383333	26230.7875977778	-0.313815143611486	0.283775959430213
Q9Y692	GMEB1	0.23761154616248	649.193684833333	1100.59471807222	-0.762872676215506	0.284193029683764
Q2V2M9	FHOD3	0.237814215947285	2885.45617666667	2271.03686867778	0.344813174152756	0.284393097951546
H0YI92;H0YIA8;O14910	LIN7A	0.23785799806925	4249.50626618333	2518.39562324444	0.754217542065916	0.284403127155718
