Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
E7ERK9;Q9UI10	EIF2B4	0.332582759846169	86177.3776	81112.3715272222	0.0873694354207608	0.595078785579885
Q9Y4K3	TRAF6	0.332633782708756	6449.85542816667	7541.58584311111	-0.225792387693913	0.595078785579885
E9PHY8;Q8NDA8	MROH1	0.332777275480631	1117.44910696667	1560.44100281667	-0.482668932988599	0.595208501472929
A0A0A0MQZ2;A0A2R8Y6T2;A0A2R8YDS2;B7ZCA0;Q96PV0	SYNGAP1	0.332966208948033	3026.2581785	3525.674262	-0.220773255596603	0.595419420351729
F5GZ82;F5H6U2;Q9NP50	SINHCAF	0.333150176299098	14678.036785	13390.2124165	0.132372432299296	0.59559123127231
Q9Y216	MTMR7	0.333204348944354	4571.48541266667	6009.03852688889	-0.394711222920432	0.59559123127231
P04899	GNAI2	0.333322672999741	409775.375033333	466846.901927778	-0.188119309550227	0.595675748743142
E7ETZ4;Q9Y6E2	BZW2	0.333430847880544	26948.2216783333	23924.4435218889	0.171644403058658	0.595742096628672
A0A0A6YYC0;E9PJN1;O75676	RPS6KA4	0.333794848327273	2797.60788983333	3396.96246338333	-0.280476145591844	0.596143709013986
P19525	EIF2AK2	0.333797819179566	24842.7613933333	28239.1118155556	-0.184920255894147	0.596143709013986
A0A2R8YH03;Q5VWN6	TASOR2	0.334128878159451	12468.1367186667	10526.4152289444	0.244094621572771	0.596353904505533
O96007	MOCS2	0.334086086979785	4136.30135083333	3269.306288	0.338915536289532	0.596353904505533
Q6IAA8	LAMTOR1	0.334048942859462	3244.869639	4652.4055615	-0.520126408938124	0.596353904505533
A0A087WXL6;Q9H270	VPS11	0.334247653987756	64474.5696633333	58595.7650838889	0.137909217897997	0.596438939920692
E5RGQ3;Q9H446	RWDD1	0.334458464809228	5398.1996255	4147.16025122222	0.38000669942762	0.596688133494761
Q8N6L1	KRTCAP2	0.334547052689333	19330.4899088333	22965.7717551667	-0.248669882084169	0.596719216507138
J3QRG1;Q6PK18	OGFOD3	0.334672169135473	10806.3582358333	9364.91767083333	0.206388152394282	0.596815427095053
H7C1V4;Q9HCH0	NCKAP5L	0.335181901507227	4183.54467766667	4991.52806266667	-0.255044694725113	0.5973433037488
Q96CK0	ZNF653	0.335091915481159	1241.59724933333	2044.48210137778	-0.720243646781126	0.5973433037488
Q9P2R3	ANKFY1	0.335115170598251	91925.9583283333	98439.2634538889	-0.0987762072535829	0.5973433037488
H0YD48;H0YE97;H0YEF7;H0YEH1;H0YEY8	PICALM	0.335404930282798	1325.00231931667	1555.93979555556	-0.232718273711398	0.597613756995593
Q96RU3	FNBP1	0.335764736519274	11488.6788723333	10304.4561627222	0.156804540408035	0.598127749248802
E9PJF5;G5E9I4;H0YCF7;Q9HCU9	BRMS1	0.336089018457405	17590.6197916667	15326.0316306667	0.198727997041803	0.598399213413637
O14646	CHD1	0.336131221845943	37522.9570316667	34446.1407333333	0.123389287501552	0.598399213413637
Q8TDN6	BRIX1	0.336123484181702	24698.3087566667	21328.5176861111	0.21156091199887	0.598399213413637
Q9NP92	MRPS30	0.336402328239877	26514.3678383333	27915.7637794444	-0.074357356561881	0.598500641266999
Q9UHW5	GPN3	0.336353592066414	11852.9355483333	10353.5214446667	0.194983529350026	0.598500641266999
Q9UKI8	TLK1	0.336292023177163	8113.84887716667	6872.97104244445	0.239242658002669	0.598500641266999
P14868	DARS	0.33700650271265	155985.171883333	146178.529961111	0.0936675917552188	0.599448350709709
Q96FX2	DPH3	0.337364754525159	949.184916216667	1554.59162735	-0.712702295372843	0.599958317432336
P35749	MYH11	0.337708236805985	2214.75604258333	2788.14971929444	-0.33267758579911	0.60044180780708
P54274	TERF1	0.338074998333004	2739.77122016667	3250.32345922222	-0.246971661790946	0.600966474670817
Q9H467	CUEDC2	0.338720392916469	35386.3297516667	28609.5591091667	0.306644442916545	0.601986115855149
A0A087WYZ9;Q96T68	SETDB2	0.339109587572913	2216.66137693333	1816.80858023333	0.286188108966612	0.602550093621291
A0A2R8Y4N0;A0A2R8Y4W1;A0A2R8Y860;A0A2R8YD46;A0A2R8YFE3;A0A2R8YHI4;A0A2U3TZS7;P43004	SLC1A2	0.339489116200193	2376.83478795	3182.96699692778	-0.421783755769727	0.602968913225718
Q13636	RAB31	0.33946277985451	161875.375016667	175142.784730556	-0.113656257513023	0.602968913225718
A0A3B3IRJ9;A0A3B3ITL0;Q9Y2H2	INPP5F	0.339903609398988	11554.7902023333	13456.6365571111	-0.219933999361818	0.603542407669593
P62633	CNBP	0.340014318028031	401881.458333333	359878.8264	0.159254784980365	0.603542407669593
Q7LBC6	KDM3B	0.340027946789643	94722.1367266667	87524.5677166667	0.113997110985732	0.603542407669593
E7EMZ9;E9PBC6	TACC2	0.340373007096744	22127.0869166667	19599.5518688889	0.174919254304574	0.603899209586584
Q5VTL8	PRPF38B	0.340352326586006	62770.4459633333	55695.4921872222	0.172498990573006	0.603899209586584
O15067	PFAS	0.340692913713252	287705.661483333	323601.606788889	-0.169629618714329	0.604007255431708
P56559	ARL4C	0.340779506510255	4081.06890866667	6251.63657644445	-0.615517594918973	0.604007255431708
Q12792	TWF1	0.340511385335489	52881.6250016667	58078.8404955556	-0.135270981108189	0.604007255431708
Q63HK3	ZKSCAN2	0.34081021219662	1379.52482098333	964.366973922222	0.515022037656379	0.604007255431708
Q9NZQ3	NCKIPSD	0.34086611004208	11240.7856453333	13015.0817055	-0.211552339860377	0.604007255431708
Q9UJX3	ANAPC7	0.340853411808517	34000.8616516667	30672.0297305556	0.148600631739621	0.604007255431708
B4DKD1;Q9BSA4	TTYH2	0.341047788418335	17791.6847333333	15335.4797087778	0.214235760214235	0.604201501349617
C9J2Q2;Q8N5M1	ATPAF2	0.341348085214114	27032.49284	24153.3541672222	0.162411279309764	0.604478076984233
Q92608	DOCK2	0.341332453807444	1873.07873541667	2715.47693742778	-0.536325253781859	0.604478076984233
O75616	ERAL1	0.341436336708599	14500.7283533333	16681.8014057778	-0.202236202234377	0.604506689886317
Q6I9Y2	THOC7	0.341854080072022	11418.368654	10078.4268401667	0.179942943832879	0.605118526789932
P20336;S4R3Q3	RAB3A	0.342295338938662	24837.7355133333	33160.8109263333	-0.416989145527857	0.605771721612639
P62917	RPL8	0.342428369702707	93459.0325566667	107247.123492222	-0.198546396978921	0.605879274099431
P05386	RPLP1	0.342630912019705	634082.817716667	845041.692716667	-0.414352946735413	0.605989834368199
Q9H9J4	USP42	0.342635397106694	8828.842775	10126.7778055556	-0.198021402109608	0.605989834368199
Q15276	RABEP1	0.342899084946517	5047.7270915	6464.63570172222	-0.357158310653671	0.606328306047353
