SampleA	SampleB	Spearman
Day14_2	Day28_6	0.952
Day14_3	Day28_6	0.954
Day14_4	Day28_6	0.951
Day14_5	Day28_6	0.952
Day14_6	Day28_6	0.951
Day21_1	Day28_6	0.967
Day21_2	Day28_6	0.971
Day21_3	Day28_6	0.968
Day21_4	Day28_6	0.97
Day21_5	Day28_6	0.97
Day21_6	Day28_6	0.969
Day28_1	Day28_6	0.982
Day28_2	Day28_6	0.98
Day28_3	Day28_6	0.95
Day28_4	Day28_6	0.98
Day28_5	Day28_6	0.976
Day28_6	Day28_6	1
