SampleA	SampleB	Spearman
Day14_6	Day0_6	0.618
Day21_1	Day0_6	0.597
Day21_2	Day0_6	0.595
Day21_3	Day0_6	0.588
Day21_4	Day0_6	0.589
Day21_5	Day0_6	0.592
Day21_6	Day0_6	0.594
Day28_1	Day0_6	0.583
Day28_2	Day0_6	0.583
Day28_3	Day0_6	0.583
Day28_4	Day0_6	0.58
Day28_5	Day0_6	0.573
Day28_6	Day0_6	0.577
Day0_1	Day03_1	0.873
Day0_2	Day03_1	0.894
Day0_3	Day03_1	0.893
Day0_4	Day03_1	0.885
Day0_5	Day03_1	0.892
Day0_6	Day03_1	0.893
Day03_1	Day03_1	1
Day03_2	Day03_1	0.99
Day03_3	Day03_1	0.977
Day03_4	Day03_1	0.975
Day03_5	Day03_1	0.969
Day03_6	Day03_1	0.969
Day07_1	Day03_1	0.843
Day07_2	Day03_1	0.849
Day07_3	Day03_1	0.857
Day07_4	Day03_1	0.867
Day07_5	Day03_1	0.863
Day07_6	Day03_1	0.858
Day10_1	Day03_1	0.789
Day10_2	Day03_1	0.785
Day10_3	Day03_1	0.778
Day10_4	Day03_1	0.79
Day10_5	Day03_1	0.768
Day10_6	Day03_1	0.782
Day14_1	Day03_1	0.721
Day14_2	Day03_1	0.718
Day14_3	Day03_1	0.728
Day14_4	Day03_1	0.736
Day14_5	Day03_1	0.728
Day14_6	Day03_1	0.728
Day21_1	Day03_1	0.702
Day21_2	Day03_1	0.696
Day21_3	Day03_1	0.689
Day21_4	Day03_1	0.689
Day21_5	Day03_1	0.692
Day21_6	Day03_1	0.694
Day28_1	Day03_1	0.667
Day28_2	Day03_1	0.666
Day28_3	Day03_1	0.666
Day28_4	Day03_1	0.663
Day28_5	Day03_1	0.657
Day28_6	Day03_1	0.661
Day0_1	Day03_2	0.864
Day0_2	Day03_2	0.89
Day0_3	Day03_2	0.887
Day0_4	Day03_2	0.878
Day0_5	Day03_2	0.887
Day0_6	Day03_2	0.888
Day03_1	Day03_2	0.99
Day03_2	Day03_2	1
Day03_3	Day03_2	0.974
Day03_4	Day03_2	0.974
Day03_5	Day03_2	0.966
Day03_6	Day03_2	0.964
Day07_1	Day03_2	0.844
Day07_2	Day03_2	0.849
Day07_3	Day03_2	0.853
Day07_4	Day03_2	0.865
Day07_5	Day03_2	0.861
Day07_6	Day03_2	0.86
Day10_1	Day03_2	0.792
Day10_2	Day03_2	0.787
Day10_3	Day03_2	0.784
Day10_4	Day03_2	0.793
Day10_5	Day03_2	0.773
Day10_6	Day03_2	0.784
Day14_1	Day03_2	0.724
Day14_2	Day03_2	0.721
Day14_3	Day03_2	0.731
Day14_4	Day03_2	0.739
Day14_5	Day03_2	0.731
Day14_6	Day03_2	0.732
Day21_1	Day03_2	0.704
Day21_2	Day03_2	0.701
Day21_3	Day03_2	0.692
Day21_4	Day03_2	0.694
Day21_5	Day03_2	0.695
