cohort,Group Name,age,Subject or Animal ID,sex,strain,Location,Preparation batch,MS sample label,MS Run Label,,sample
C8,SLAM,18,1694,M,B6,URL:SLAM 3-Shelf 3-Rack 13 Box 308,Batch 2,67,SLAM_67_1694.raw,,SLAM_67
C8,SLAM,18,1611,M,HET3,URL:SLAM 3-Shelf 3-Rack 13 Box 308,Batch 2,68,SLAM_68_1611.raw,,SLAM_68
C10,SLAM,21,2146,F,HET3,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 2,69,SLAM_69_2146.raw,,SLAM_69
C10,SLAM,25,2002,F,B6,URL:SLAM 3-Shelf 1-Rack 5  Box 102,Batch 3,70,SLAM_70_2002.raw,,SLAM_70
C10,SLAM,25,1949,M,B6,URL:SLAM 3-Shelf 1-Rack 5  Box 102,Batch 3,71,SLAM_71_1949.raw,,SLAM_71
C9,SLAM,30,1851,F,B6,URL:SLAM 3-Shelf 2-Rack 9 Box 221,Batch 3,72,SLAM_72_1851.raw,,SLAM_72
C7,SLAM,30,1330,F,HET3,URL:SLAM 3-Shelf 3-Rack 18 Box 434,Batch 3,73,SLAM_73_1330.raw,,SLAM_73
C7,SLAM,30,1386,M,HET3,URL:SLAM 3-Shelf 3-Rack 18 Box 434,Batch 3,74,SLAM_74_1386.raw,,SLAM_74
C5,SLAM,33,950,F,B6,URL:SLAM 4-Shelf 1-Rack 2  Box 645,Batch 3,75,SLAM_75_950.raw,,SLAM_75
C8,SLAM,33,1676,M,B6,URL:SLAM 3-Shelf 3-Rack 14 Box 333,Batch 4,76,SLAM_76_1676.raw,,SLAM_76
C8,SLAM,33,1607,M,HET3,URL:SLAM 3-Shelf 3-Rack 14 Box 333,Batch 3,77,SLAM_77_1607.raw,,SLAM_77
C6,SLAM,34,1053,F,HET3,URL:SLAM 3-Shelf 4-Rack 23 Box 553,Batch 3,78,SLAM_78_1053.raw,,SLAM_78
C6,SLAM,34,1066,F,HET3,URL:SLAM 3-Shelf 4-Rack 23 Box 553,Batch 3,79,SLAM_79_1066.raw,,SLAM_79
C6,SLAM,34,1120,M,HET3,URL:SLAM 3-Shelf 4-Rack 23 Box 553,Batch 3,80,SLAM_80_1120.raw,,SLAM_80
C5,SLAM,6,923,F,B6,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 3,81,SLAM_81_923.raw,,SLAM_81
C5,SLAM,6,845,F,HET3,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 3,82,SLAM_82_845.raw,,SLAM_82
C5,SLAM,6,984,M,B6,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 3,83,SLAM_83_984.raw,,SLAM_83
C5,SLAM,6,885,M,HET3,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 3,84,SLAM_84_885.raw,,SLAM_84
C6,SLAM,12,1208,F,B6,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 3,85,SLAM_85_1208.raw,,SLAM_85
C6,SLAM,12,1072,F,HET3,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 3,86,SLAM_86_1072.raw,,SLAM_86
C6,SLAM,12,1267,M,B6,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 3,87,SLAM_87_1267.raw,,SLAM_87
C6,SLAM,12,1147,M,HET3,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 3,88,SLAM_88_1147.raw,,SLAM_88
C8,SLAM,18,1651,F,B6,URL:SLAM 3-Shelf 3-Rack 13 Box 308,Batch 3,89,SLAM_89_1651.raw,,SLAM_89
C16,SLAM,18,3183,F,HET3,URL:SLAM 1-Shelf 1-Rack 6 Box 1339,Batch 3,90,SLAM_90_3183.raw,,SLAM_90
C8,SLAM,18,1698,M,B6,URL:SLAM 3-Shelf 3-Rack 13 Box 308,Batch 3,91,SLAM_91_1698.raw,,SLAM_91
C16,SLAM,18,3233,M,HET3,URL:SLAM 1-Shelf 1-Rack 6 Box 1339,Batch 3,92,SLAM_92_3233.raw,,SLAM_92
