PG.ProteinGroups,PG.Genes,[1] Control_1.raw.PG.Quantity,[2] Control_2.raw.PG.Quantity,[3] Control_3.raw.PG.Quantity,[4] Control_4.raw.PG.Quantity,[5] Control_5.raw.PG.Quantity,[6] Control_6.raw.PG.Quantity,[7] UNC13A_CE_1.raw.PG.Quantity,[8] UNC13A_CE_2.raw.PG.Quantity,[9] UNC13A_CE_3.raw.PG.Quantity,[10] UNC13A_CE_4.raw.PG.Quantity,[11] UNC13A_CE_5.raw.PG.Quantity,[12] UNC13A_CE_6.raw.PG.Quantity,[13] UNC13A_WT_1.raw.PG.Quantity,[14] UNC13A_WT_2.raw.PG.Quantity,[15] UNC13A_WT_3.raw.PG.Quantity,[16] UNC13A_WT_4.raw.PG.Quantity,[17] UNC13A_WT_5.raw.PG.Quantity,[18] UNC13A_WT_6.raw.PG.Quantity
A0A1B0GUS4;P68036,UBE2L5;UBE2L3,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,NaN,NaN,Filtered,Filtered,NaN,0.5816116333007812,NaN,NaN,NaN,NaN,NaN
Q00587,CDC42EP1,2059.177490234375,1968.1044921875,2593.256591796875,2328.812744140625,3208.115234375,3508.616455078125,2651.541748046875,4568.70068359375,4964.4013671875,3518.2822265625,4255.3291015625,4395.90576171875,2038.833740234375,3746.712890625,3687.304443359375,3848.475830078125,3758.198486328125,4172.77392578125
Q00610,CLTC,1105.00830078125,525.2164306640625,830.2254638671875,848.6109008789062,5190.16845703125,828.9644165039062,4956.6953125,5560.798828125,7273.6318359375,5773.92578125,5424.57470703125,3451.122314453125,4586.3740234375,5774.40234375,5527.8515625,5045.68505859375,5732.09228515625,4810.72265625
Q00688,FKBP3,1390.9454345703125,1327.318603515625,3245.98681640625,2081.174560546875,11105.4365234375,3097.783203125,46203.546875,45789.62890625,54407,48025.30859375,47423.640625,38398.328125,40366.0859375,47981.3203125,50164.921875,46651.1015625,50652.08984375,49750.96484375
Q00839,HNRNPU,14742.35546875,15056.634765625,20100.89453125,13658.244140625,34879.87109375,19337.630859375,1095598.125,1159698.375,1437457.75,1227191.875,1112933.875,1164021.125,1031329.6875,1097321.75,1263625.25,1151436.375,1169905.375,1222213.375
Q01082,SPTBN1,1663.1165771484375,1661.5426025390625,1469.2347412109375,910.09521484375,3047.36669921875,1754.7186279296875,4122.50341796875,4492.642578125,5715.78173828125,4427.87109375,3730.853759765625,4231.6787109375,4174.56689453125,4025.158203125,4644.51416015625,4535.67529296875,5319.203125,4633.1865234375
Q01085,TIAL1,3421.233642578125,608.9055786132812,596.9312744140625,NaN,751.968994140625,2566.108154296875,18975.3046875,17898.896484375,25053.65625,18833.9453125,17632.48046875,16620.384765625,14219.3408203125,17887.72265625,18729.951171875,14995.2734375,18705.02734375,17121.5
Q01105,SET,1521.2227783203125,1747.250732421875,1856.91943359375,1354.5987548828125,7970.04248046875,2827.319091796875,1595.9561767578125,2215.23193359375,1906.5733642578125,1936.5704345703125,1855.8408203125,694.9786376953125,1221.5159912109375,1654.119873046875,1919.8443603515625,1879.74951171875,1737.7835693359375,1351.0035400390625
Q01130,SRSF2,11879.3818359375,10851.271484375,13617.1083984375,16835.41796875,31480.12109375,27674.3671875,197635.4375,220111.859375,257291.796875,229238,205592.65625,200344.46875,171320.5,220334.453125,238754.8125,238048.078125,246497.328125,248211.34375
Q01167,FOXK2,Filtered,Filtered,Filtered,NaN,Filtered,Filtered,3900.033935546875,3894.2060546875,3604.744384765625,4603.52880859375,4204.50146484375,4027.32177734375,3472.998779296875,1270.8260498046875,3235.83544921875,2584.80517578125,3072.35009765625,3870.120361328125
Q01469,FABP5,1296.5101318359375,NaN,466.0038757324219,Filtered,9624.0654296875,Filtered,3049.79296875,7537.4052734375,2892.026611328125,2791.920166015625,2763.548095703125,1510.307373046875,5565.15869140625,4544.240234375,1865.1507568359375,2980.230224609375,3623.474609375,1802.2318115234375
