PG.ProteinGroups,PG.Genes,[1] ctrl_1.raw.PG.Quantity,[2] ctrl_2.raw.PG.Quantity,[3] ctrl_3.raw.PG.Quantity,[4] ctrl_4.raw.PG.Quantity,[5] Halo_1.raw.PG.Quantity,[6] Halo_2.raw.PG.Quantity,[7] Halo_3.raw.PG.Quantity,[8] Halo_4.raw.PG.Quantity
Q8WYA0,IFT81,8894.859375,5710.5126953125,10110.412109375,6691.15625,9268.8046875,6607.2900390625,6178.60546875,2428.436767578125
Q8WYL5,SSH1,NaN,1006.6434936523438,NaN,NaN,NaN,NaN,NaN,NaN
Q8WZ42,TTN,17012.34765625,15330.8759765625,11479.7783203125,12227.4560546875,12917.861328125,13715.041015625,18242.16015625,12527.0947265625
Q8WZA0,LZIC,15925.474609375,16023.28125,18498.447265625,16858.88671875,14121.162109375,14111.91015625,16747.814453125,18775.333984375
Q8WZA9,IRGQ,3858.78759765625,5818.978515625,7356.4677734375,7794.388671875,11457.7880859375,7863.6650390625,7730.291015625,9034.7216796875
Q92499,DDX1,449931.34375,467741.96875,430140.4375,394185.78125,324639.03125,363222.5625,396695.25,341071.25
Q92503,SEC14L1,17909.01953125,22325.080078125,18222.001953125,15524.16796875,10324.9716796875,13855.765625,11300.615234375,8714.6923828125
Q92522,H1-10,255243.953125,195146.234375,203657.96875,185161.046875,195350.34375,167690.34375,257373.578125,262529.375
Q92541,RTF1,24113.384765625,25500.833984375,14741.5244140625,18216.482421875,15494.1806640625,19472.0078125,23498.556640625,26887.7890625
Q92551,IP6K1,11320.0703125,15626.9169921875,12510.927734375,4654.19140625,4441.8642578125,3778.47607421875,7167.6796875,3853.025634765625
Q92552,MRPS27,4142.97216796875,2762.871826171875,12722.0576171875,2965.3505859375,5137.8642578125,4182.4208984375,2644.677978515625,3885.745849609375
Q92558,WASF1,30960.732421875,32429.650390625,30595.166015625,18271.626953125,21667.8984375,19887.83203125,21685.6796875,18498.3125
Q92563,SPOCK2,16948.849609375,12268.0751953125,13446.9560546875,13152.7587890625,11833.814453125,14573.2724609375,13727.1015625,15848.3486328125
Q92572,AP3S1,99894.2109375,76130.765625,90628.5625,85163.7734375,59370.1875,61400.12109375,73144.890625,86473.65625
Q92574,TSC1,6076.84423828125,5058.1943359375,5203.88037109375,4832.21875,5215.4296875,4374.88671875,5461.5869140625,4610.61279296875
Q92581,SLC9A6,NaN,2663.89794921875,3758.758056640625,NaN,NaN,2471.53076171875,1130.5794677734375,3520.713623046875
Q92597,NDRG1,NaN,3512.8076171875,2641.58056640625,2676.5400390625,671.0276489257812,1967.917236328125,1300.2598876953125,NaN
Q92598,HSPH1,53440.2734375,47055.0078125,47743.80859375,46098.3203125,40142.15234375,45190.40234375,43976.171875,48702.22265625
Q92604,LPGAT1,17152.404296875,23881.21484375,21209.900390625,20297.34375,16416.0859375,18371.609375,21940.310546875,23781.990234375
Q92609,TBC1D5,4457.84326171875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q92614,MYO18A,77728.515625,87212.703125,79369.4296875,71616.1953125,51950.59765625,62996.29296875,66462.4765625,66544.7421875
Q92616,GCN1,161186.671875,151134.171875,147280.109375,139318.046875,113303.9140625,131864.328125,144374.359375,127597
Q92620,DHX38,9770.9248046875,9925.630859375,7275.525390625,8464.44140625,7215.16259765625,8578.9970703125,12851.0712890625,11446.73828125
Q92621,NUP205,13226.513671875,13809.1923828125,13245.05859375,14284.0078125,8084.41748046875,9084.5673828125,7972.2119140625,8002.5810546875
Q92623,TTC9,73223.84375,103524.234375,92766.6328125,88852.53125,59257.84765625,60673.3125,52514.85546875,49721.77734375
Q92625,ANKS1A,1568.8818359375,NaN,4787.73779296875,9524.2109375,NaN,NaN,NaN,NaN
Q92643,PIGK,657.250732421875,1390.3541259765625,NaN,NaN,NaN,2121.19091796875,NaN,NaN
Q92665,MRPS31,20965.123046875,7052.58056640625,13534.779296875,5212.22021484375,7196.203125,4923.42333984375,9085.5517578125,4848.99267578125
Q92685,ALG3,12839.271484375,16393.439453125,12141.9345703125,19089.140625,17321.005859375,15838.15234375,16888.5234375,16952.93359375
Q92688,ANP32B,5028.8037109375,8785.859375,8738.615234375,9152.12890625,4506.50634765625,1812.296142578125,6493.12890625,5458.005859375
Q92734,TFG,41748.95703125,26781.994140625,44315.99609375,17953.796875,31261.552734375,40095.203125,34337.1328125,25974.11328125
Q92747,ARPC1A,40967.2265625,33901.6953125,33395.7734375,33865.39453125,34404.65625,34063.8984375,33266.7265625,28018.712890625
Q92759,GTF2H4,11677.7705078125,14304.1083984375,6403.93212890625,6799.095703125,6694.412109375,5966.37451171875,7168.01318359375,7146.0830078125
