PG.ProteinGroups,PG.Genes,[1] Control_1.raw.PG.Quantity,[2] Control_2.raw.PG.Quantity,[3] Control_3.raw.PG.Quantity,[4] Control_4.raw.PG.Quantity,[5] Control_5.raw.PG.Quantity,[6] Control_6.raw.PG.Quantity,[13] UNC13A_WT_1.raw.PG.Quantity,[14] UNC13A_WT_2.raw.PG.Quantity,[15] UNC13A_WT_3.raw.PG.Quantity,[16] UNC13A_WT_4.raw.PG.Quantity,[17] UNC13A_WT_5.raw.PG.Quantity,[18] UNC13A_WT_6.raw.PG.Quantity
Q2NKX8,ERCC6L,8011.029297,6438.527344,7323.90332,8090.650391,11018.0957,18814.04297,7750.370605,8280.580078,7637.197266,9990.990234,9879.025391,9514.689453
Q2NL82,TSR1,2661.602539,2857.26416,3123.185059,2967.091064,8698.183594,6827.195313,51914.17578,67192.75,67417.33594,60633.19531,67116.11719,71331.59375
Q2PZI1,DPY19L1,286.7168274,330.5356445,859.6433105,343.3124695,1725.401855,1375.680786,4567.437988,5197.818359,6226.223633,5608.52832,4425.989258,6049.388184
Q2TAM9,TUSC1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1970.685669,1287.470215,3936.414551,3012.01001,4519.348145,2195.262451
Q2TAY7,SMU1,3344.911133,3156.063232,4357.99707,3653.775879,11629.02246,6903.763672,120805.5938,145497.7813,148046.2344,130189.5703,157560.1563,152045
Q2TBE0,CWF19L2,Filtered,Filtered,Filtered,NaN,754.6542358,NaN,2134.855957,3175.726807,3204.154541,2887.765869,2869.495361,2941.227295
Q32P28,P3H1,Filtered,Filtered,Filtered,Filtered,423.6397705,Filtered,475.4580078,1685.199463,1005.008667,294.3872375,954.5302124,1293.337769
Q32P44,EML3,Filtered,1684.903442,488.933136,2185.982178,3176.442627,553.6591187,14204.21191,17556.85547,16348.4043,15681.66309,17079.98438,18650.11719
Q3B726,POLR1F,837.3840332,Filtered,574.6629639,635.2612305,2349.898926,1413.845337,19614.46094,17892.91211,22935.19727,21830.18555,21225.05469,20864.16797
Q3B7T1,EDRF1,Filtered,Filtered,Filtered,Filtered,256.7783508,1185.05127,7887.891602,8732.758789,7995.615234,6507.391113,9669.414063,8972.206055
Q3KQU3,MAP7D1,440.9178772,2.631038427,890.4017944,535.6991577,840.6876831,562.5192261,4113.875977,5760.56543,6136.561035,5445.005859,5560.20752,6006.321289
Q3L8U1,CHD9,4530.931641,1671.727661,6783.89209,339.9919739,2196.708008,640.218811,4127.789551,4354.244141,5177.601074,4908.527344,5842.620605,4900.928223
Q3MHD2,LSM12,4733.760742,7067.54248,5759.146484,5435.501953,10328.20605,9037.039063,69044.39844,77789.91406,75584.23438,78050.3125,67155.55469,95684.44531
Q3MIP1,ITPRIPL2,NaN,Filtered,NaN,NaN,766.0693359,Filtered,3162.723633,3813.451904,3549.119385,3587.516357,3877.668213,3159.645508
Q3SY84,KRT71,11732.95996,3918.594971,8559.498047,2122.350586,14981.40723,4236.546387,12946.52344,10114.72656,8766.540039,7843.282227,8388.665039,8709.269531
Q3T8J9,GON4L,980.7379761,Filtered,1884.43335,Filtered,NaN,803.3637695,3431.00293,4900.366699,5442.378418,5140.500488,4648.24707,4349.692871
Q3ZCQ8,TIMM50,2152.096924,1601.327148,2041.546631,1994.437012,7247.759277,6632.072754,8624.168945,10254.07324,8745.995117,7800.779785,9254.460938,8732.435547
Q460N5,PARP14,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,3401.532227,5431.163574,4311.421387,3625.07666,4813.183594,3923.315186
Q49A88,CCDC14,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,2459.420654,3337.618896,3005.555664,2263.163086,1785.921387,2337.395996
Q49AG3,ZBED5,Filtered,NaN,Filtered,Filtered,867.4849243,Filtered,1587.894409,1223.026733,1731.628906,1896.680054,1006.373718,1405.502686
Q4G0J3,LARP7,1592.163818,2191.781006,911.5563354,12504.53027,2673.460205,2649.14624,12857.375,15647.34277,15434.00977,17368.00586,17999.37891,18803.98828
