Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
P68032	ACTC1	0.00208323999838619	37785.0846354167	20252.3330078125	0.899657508381488	0.00262644789294049
P48444	ARCN1	0.0021541689617465	2323.39038085938	398.832529703776	2.53876382190154	0.0027146427866353
Q9NX00	TMEM160	0.00217304099777965	3432.19492594401	573.579325358073	2.5785535031481	0.00273718642189794
O14503	BHLHE40	0.00219460060244321	925.99299621582	52.5605061848958	4.1117597813125	0.00276309343481208
Q92598	HSPH1	0.00220831864242313	2612.02211507162	305.658467610677	3.09046241865137	0.00277910863947059
Q9BVQ7	SPATA5L1	0.00227773804401533	2288.36020914714	234.972869873047	3.27762125799661	0.00286517635618008
P78312	FAM193A	0.00232050689793115	4081.68591308594	35.7782211303711	6.79416965869149	0.00291765765721817
O15321	TM9SF1	0.00234934845265396	5244.38549804688	1106.08390299479	2.24400917301887	0.00295258819523523
Q9BZL4	PPP1R12C	0.00236907073515686	2679.93998209635	1019.43954467773	1.39300997823148	0.00297603157303196
O00472	ELL2	0.00240497969008824	4531.67386881511	1186.6299794515	1.93195862141404	0.00301977837551656
Q14247	CTTN	0.00244387428360955	6330.02587890625	3288.2948811849	0.944433048021557	0.00306723293368752
P15311	EZR	0.00245664678588247	10690.1551106771	3058.97004191081	1.8046933525945	0.00308187445886608
Q9NX63	CHCHD3	0.00247427539704432	16052.0673828125	9783.85245768229	0.714137115096338	0.00310259206698264
A1X283	SH3PXD2B	0.00249381261543487	4919.20377604167	171.980712890625	4.82974172591477	0.00312568322861662
P00367	GLUD1	0.00256149510456223	11018.3660481771	5484.18664550781	1.00629768006558	0.00320907056509483
Q7Z5L9	IRF2BP2	0.00259495363304135	1882.53942871094	361.424118041992	2.37692921169673	0.00324952601979324
P03928	MT-ATP8	0.00264307219565494	16446.4995117188	1933.09269205729	3.08805170883684	0.00330829486062877
P18206	VCL	0.00266268684471621	15695.5870768229	25615.88671875	-0.706736159758601	0.00333025757215373
Q9NYP7	ELOVL5	0.0026630102740346	6982.76643880208	488.440310160319	3.83459388656607	0.00333025757215373
