Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q9HCS7	XAB2	1.9839939113055e-07	20041.8404947917	1574.39411671956	3.66923030284857	6.94772207430756e-07
O14646	CHD1	1.99798815767996e-07	14453.1318359375	3363.15537516276	2.1030658990508	6.98793848113192e-07
P51610	HCFC1	2.03850237798574e-07	26112.1627604167	1925.65391031901	3.76055260986486	7.1206908661384e-07
P35637	FUS	2.0416113831435e-07	556138.067708333	35561.9951171875	3.96699435490353	7.12261414871117e-07
Q8N0U8	VKORC1L1	2.04667224708782e-07	4952.66341145833	654.137074788412	2.91833587769776	7.13133358684918e-07
Q13557	CAMK2D	2.0604885403754e-07	10788.9840494792	1084.94439697266	3.31253687845551	7.17050012050639e-07
Q52LJ0	FAM98B	2.07033973731361e-07	59571.3509114583	1216.72537231445	5.61235796469828	7.19578755141209e-07
P53985	SLC16A1	2.07354471360297e-07	24754.3772786458	4624.16286214193	2.42010758520938	7.1979407514597e-07
P18074	ERCC2	2.08563389042453e-07	10732.3100585938	158.434354146322	6.07285430203731	7.23089010079936e-07
Q13443	ADAM9	2.09088820400292e-07	6850.48111979167	1056.48177083333	2.69557252033713	7.24009049744295e-07
Q86XP3	DDX42	2.09787839631717e-07	4270.82995605469	503.252754211426	3.08229749400942	7.25527137310187e-07
Q14643	ITPR1	2.10319832420198e-07	2524.33044433594	640.523880004883	1.9763259027543	7.26464532826092e-07
Q00341	HDLBP	2.12194549260253e-07	765065.15625	4671.23234049479	7.35532679069134	7.32031753581839e-07
Q13011	ECH1	2.1587339803414e-07	31117.158203125	2003.92612711589	3.95608932549718	7.43801411048325e-07
O76039	CDKL5	2.17161426009843e-07	6232.03930664063	455.992655436198	3.76946144848752	7.47314474674168e-07
Q53F19	NCBP3	2.17485534981026e-07	9813.05452473958	226.764290014903	5.42908879908454	7.47505838749601e-07
P40222	TXLNA	2.21792616441947e-07	65974.8997395833	1416.23143513997	5.54076997714923	7.59952801007871e-07
Q8TCS8	PNPT1	2.21925871846049e-07	30650.4036458333	1363.46145629883	4.48950252676005	7.59952801007871e-07
Q9Y5T4	DNAJC15	2.21614041263418e-07	7489.26350911458	1344.20407104492	2.47699880159307	7.59952801007871e-07
P11908;P60891	PRPS2;PRPS1	2.22416937927692e-07	1904.02453613281	77.4080810546875	4.60190590776719	7.60327692373709e-07
P62312	LSM6	2.22581562243022e-07	14385.9757486979	237.780282398065	5.91283555791258	7.60327692373709e-07
Q9NVN8	GNL3L	2.2413053723149e-07	36496.2307942708	2559.18739827474	3.83342615479715	7.63744694801063e-07
Q9NYM9	BET1L	2.2410760227123e-07	8803.22338867188	383.066772460938	4.51860281815736	7.63744694801063e-07
O75817	POP7	2.24817044587861e-07	15798.8253580729	165.507166544596	6.56808921496838	7.65147496494627e-07
O60725	ICMT	2.27658274697968e-07	25457.5771484375	2592.33121744792	3.29521673891241	7.73871351354264e-07
P78362	SRPK2	2.30435215123473e-07	45515.7135416667	974.569997151693	5.54397549757978	7.82355657199694e-07
Q9BPZ7	MAPKAP1	2.31771525541242e-07	2648.89762369792	152.553578694661	4.10857804554394	7.85934137767136e-07
P20290	BTF3	2.3289484029385e-07	14187.4799804688	2081.72165934245	2.76807640502519	7.8878252479085e-07
Q99741	CDC6	2.35566006486626e-07	2384.62176513672	81.4608612060547	4.85390711369198	7.96859978200201e-07
P35606	COPB2	2.38960257881038e-07	22049.052734375	2926.70663452148	2.91287377306393	8.07360871287389e-07
A6ND36	FAM83G	2.3951020982616e-07	5609.45149739583	577.667892456055	3.27705220520693	8.08238089886095e-07
Q9H2W6	MRPL46	2.39893094536446e-07	6702.41764322917	390.249307910601	4.09852148188065	8.08550091028409e-07
O94906	PRPF6	2.40369497019334e-07	88524.3072916667	3696.80135091146	4.58133402036957	8.08801606963346e-07
P15407	FOSL1	2.40642948108452e-07	4420.9814860026	613.387919108073	2.84714493933796	8.08801606963346e-07
Q15269	PWP2	2.40995003557142e-07	8070.51513671875	957.27284749349	3.07415236709061	8.08801606963346e-07
Q92620	DHX38	2.41129789432319e-07	11658.3590494792	705.874664306641	4.04376649479119	8.08801606963346e-07
Q6P158	DHX57	2.41840300002426e-07	11430.1848958333	365.533665974935	4.96275921527311	8.10208658491882e-07
P09874	PARP1	2.44298949807051e-07	647341.604166667	28778.6630859375	4.49140561966493	8.1636630864918e-07
P46977	STT3A	2.44554600073234e-07	12287.9501953125	1621.20153808594	2.92121930127988	8.1636630864918e-07
Q9BTL3	RAMAC	2.44558010565164e-07	30909.6591796875	170.079132080078	7.49725014316287	8.1636630864918e-07
O00488	ZNF593	2.46786313460738e-07	46153.4993489583	12792.2272135417	1.8510597931538	8.20851967353279e-07
Q53EP0	FNDC3B	2.46589491031119e-07	47945.357421875	2364.70373535156	4.34104980818171	8.20851967353279e-07
Q8N556	AFAP1	2.46529875573993e-07	45098.2102864583	3140.18133544922	3.84369104653162	8.20851967353279e-07
P11474	ESRRA	2.52302286021089e-07	523811.744791667	164599.973958333	1.67007553550457	8.38032281661507e-07
Q9H0S4	DDX47	2.52553550400145e-07	68048.26171875	4172.05578613281	4.02738219676085	8.38032281661507e-07
